Name of the hotel,City,Budget for 1 day and night,Rating of the hotel
Plaza Gardens,Lucknow,7368,4.9
Bay Oasis,Lucknow,1631,2.9
Bay Inn,Delhi,1560,4.7
Hotel Suites,Delhi,3932,5.0
Inn Suites,Delhi,904,3.5
Palace Residency,Delhi,14536,2.6
Palace Inn,Delhi,8556,4.3
Royal Residency,Delhi,1810,3.0
Plaza Inn,Delhi,13863,3.4
Heights Lounge,Mumbai,4636,2.8
Resort Oasis,Mumbai,13555,4.9
Resort Retreat,Mumbai,2292,4.0
Resort Heights,Mumbai,8455,2.8
Plaza Oasis,Mumbai,11320,3.8
Resort Inn,Mumbai,8933,2.9
Grand Palace,Chennai,5540,4.4
Royal Oasis,Chennai,11194,3.2
Grand Gardens,Chennai,10862,4.3
Heights Inn,Chennai,11233,4.5
Grand Residency,Chennai,8071,4.8
Bay Residency,Chennai,7326,4.0
Plaza Suites,Chennai,6729,4.9
Inn Residency,Kolkata,10710,3.0
Regency Palace,Kolkata,10335,4.4
Heights Vista,Kolkata,13132,3.2
Heights Vista,Kolkata,9562,2.9
Palace Oasis,Kolkata,2798,2.6
Resort Suites,Kolkata,12894,4.7
Bay Vista,Bengaluru,4347,3.0
Hotel Vista,Bengaluru,13982,2.9
Inn Vista,Bengaluru,1841,3.2
Palace Lounge,Bengaluru,11947,4.9
Palace Retreat,Bengaluru,4356,3.6
Heights Vista,Bengaluru,7055,4.7
Royal Gardens,Bengaluru,8822,3.7
Grand Retreat,Bengaluru,6023,4.1
Resort Heights,Bengaluru,6037,2.8
Plaza Palace,Hyderabad,13099,2.6
Plaza Gardens,Hyderabad,14803,3.5
Suites Vista,Hyderabad,11493,4.0
Royal Retreat,Hyderabad,14696,3.6
Suites Vista,Hyderabad,12238,3.7
Plaza Residency,Hyderabad,4558,4.0
Suites Vista,Hyderabad,3137,4.4
Plaza Inn,Hyderabad,12675,4.1
Inn Vista,Hyderabad,13502,3.5
Inn Suites,Pune,5570,3.3
Plaza Gardens,Pune,6358,4.8
Hotel Retreat,Pune,1741,4.3
Hotel Gardens,Pune,5829,3.7
Grand Vista,Pune,6644,3.1
Resort Gardens,Pune,3220,4.4
Suites Inn,Pune,11155,2.9
Regency Residency,Pune,3050,3.4
Resort Vista,Pune,4799,4.1
Plaza Lounge,Ahmedabad,11487,4.8
Bay Heights,Ahmedabad,11326,3.5
Heights Palace,Ahmedabad,5434,3.9
Suites Lounge,Ahmedabad,7667,4.5
Plaza Palace,Ahmedabad,1759,4.3
Heights Inn,Ahmedabad,1469,4.6
Inn Oasis,Ahmedabad,6192,4.9
Suites Residency,Ahmedabad,14055,3.7
Resort Residency,Ahmedabad,8705,2.7
Bay Heights,Ahmedabad,5054,2.5
Plaza Heights,Jaipur,9761,4.9
Hotel Lounge,Jaipur,3840,3.4
Bay Retreat,Jaipur,9454,3.3
Royal Gardens,Jaipur,11723,2.5
Royal Gardens,Jaipur,12592,3.4
Inn Vista,Jaipur,12009,3.7
Bay Palace,Jaipur,10380,4.6
Grand Residency,Jaipur,6118,2.8
Suites Gardens,Lucknow,9351,2.9
Inn Retreat,Lucknow,13344,2.9
Plaza Inn,Lucknow,4572,4.9
Royal Vista,Lucknow,5104,3.4
Grand Suites,Lucknow,11518,2.5
Heights Oasis,Lucknow,14073,3.8
Bay Gardens,Delhi,6905,3.9
Heights Residency,Delhi,8221,4.1
Grand Gardens,Delhi,13880,2.6
Palace Gardens,Delhi,6193,3.7
Regency Suites,Delhi,4484,3.1
Inn Retreat,Delhi,2388,3.1
Suites Lounge,Delhi,10906,3.1
Heights Oasis,Mumbai,5696,3.2
Palace Gardens,Mumbai,8154,2.8
Heights Palace,Mumbai,13521,3.4
Heights Gardens,Mumbai,14156,4.6
Suites Palace,Mumbai,2462,3.3
Grand Residency,Mumbai,2339,4.8
Suites Vista,Chennai,10638,3.5
Grand Vista,Chennai,10988,3.9
Royal Oasis,Chennai,2151,3.9
Inn Oasis,Chennai,3229,3.8
Grand Oasis,Chennai,14062,4.3
Grand Palace,Chennai,2436,3.6
Palace Oasis,Chennai,9455,4.6
Resort Suites,Kolkata,1411,4.4
Bay Gardens,Kolkata,11311,4.4
Plaza Vista,Kolkata,14616,4.2
Grand Residency,Kolkata,10017,3.4
Resort Suites,Kolkata,1569,4.2
Inn Inn,Kolkata,2358,5.0
Heights Inn,Bengaluru,11196,3.6
Inn Heights,Bengaluru,1449,3.4
Royal Vista,Bengaluru,994,3.7
Plaza Palace,Bengaluru,6722,4.6
Resort Palace,Bengaluru,8363,4.5
Regency Oasis,Bengaluru,7490,5.0
Suites Inn,Bengaluru,10167,4.2
Bay Palace,Bengaluru,6785,3.9
Bay Vista,Bengaluru,11911,4.0
Resort Retreat,Hyderabad,2716,4.8
Plaza Retreat,Hyderabad,10524,4.1
Bay Oasis,Hyderabad,4705,3.0
Inn Heights,Hyderabad,12356,3.4
Grand Gardens,Hyderabad,1772,4.8
Grand Palace,Hyderabad,6209,2.5
Hotel Retreat,Hyderabad,6700,4.7
Grand Lounge,Hyderabad,8155,4.5
Bay Gardens,Hyderabad,10133,3.7
Heights Oasis,Pune,11519,3.1
Plaza Vista,Pune,13833,4.6
Heights Vista,Pune,12945,3.2
Plaza Residency,Pune,12113,3.6
Plaza Residency,Pune,4620,4.4
Grand Suites,Pune,8324,4.3
Grand Residency,Pune,1918,4.2
Royal Palace,Pune,4564,4.7
Grand Lounge,Pune,10688,3.3
Hotel Oasis,Ahmedabad,2980,4.4
Palace Gardens,Ahmedabad,3856,3.5
Royal Oasis,Ahmedabad,4560,2.6
Suites Inn,Ahmedabad,3818,4.8
Suites Inn,Ahmedabad,10899,4.4
Hotel Residency,Ahmedabad,13532,4.2
Inn Suites,Ahmedabad,14106,3.6
Heights Oasis,Ahmedabad,3133,3.5
Heights Lounge,Ahmedabad,10747,4.9
Grand Lounge,Ahmedabad,12407,3.8
Grand Inn,Jaipur,12250,4.5
Inn Gardens,Jaipur,12756,2.7
Suites Oasis,Jaipur,7526,3.4
Palace Retreat,Jaipur,2637,2.5
Hotel Oasis,Jaipur,11993,2.9
Suites Residency,Jaipur,5457,2.9
Resort Gardens,Jaipur,13238,3.4
Inn Heights,Jaipur,5778,4.4
Regency Lounge,Lucknow,14535,2.9
Palace Gardens,Lucknow,3144,4.8
Plaza Lounge,Lucknow,5410,3.6
Royal Residency,Lucknow,2729,4.7
Hotel Heights,Lucknow,5417,3.7
Royal Heights,Lucknow,12858,2.8
Heights Vista,Delhi,1883,3.8
Palace Inn,Delhi,2133,4.2
Royal Heights,Delhi,14196,4.2
Grand Inn,Delhi,11380,3.4
Grand Palace,Delhi,12232,3.6
Royal Palace,Delhi,10074,2.8
Grand Retreat,Delhi,5820,3.5
Palace Inn,Mumbai,13878,3.2
Bay Residency,Mumbai,13901,2.9
Suites Vista,Mumbai,2451,3.8
Heights Suites,Mumbai,5964,2.8
Regency Retreat,Mumbai,13140,3.7
Heights Oasis,Mumbai,14348,3.7
Hotel Residency,Chennai,8610,3.7
Royal Retreat,Chennai,11955,4.7
Hotel Heights,Chennai,2323,2.7
Royal Retreat,Chennai,14356,4.2
Royal Lounge,Chennai,3992,3.3
Bay Lounge,Chennai,4235,3.7
Suites Residency,Chennai,6194,3.7
Heights Gardens,Kolkata,14321,3.1
Hotel Lounge,Kolkata,6349,3.1
Hotel Retreat,Kolkata,14827,3.7
Hotel Oasis,Kolkata,12059,3.5
Resort Suites,Kolkata,14442,2.6
Inn Gardens,Kolkata,9352,3.7
Inn Lounge,Bengaluru,12661,3.9
Heights Residency,Bengaluru,11790,3.1
Heights Vista,Bengaluru,12019,4.8
Plaza Vista,Bengaluru,7450,3.4
Plaza Residency,Bengaluru,3180,4.4
Grand Lounge,Bengaluru,6526,4.3
Resort Oasis,Bengaluru,11797,3.0
Grand Residency,Bengaluru,7421,4.7
Inn Residency,Bengaluru,6084,4.6
Plaza Inn,Hyderabad,1837,4.8
Royal Vista,Hyderabad,12204,2.7
Heights Palace,Hyderabad,13599,3.3
Palace Retreat,Hyderabad,11761,4.6
Royal Oasis,Hyderabad,13996,4.6
Suites Vista,Hyderabad,3949,4.8
Hotel Gardens,Hyderabad,8609,3.5
Suites Gardens,Hyderabad,7136,5.0
Regency Oasis,Hyderabad,6404,3.3
Suites Gardens,Pune,6748,4.8
Plaza Retreat,Pune,1421,4.0
Heights Residency,Pune,4052,4.4
Palace Vista,Pune,10539,5.0
Suites Inn,Pune,11391,4.2
Royal Inn,Pune,8058,4.4
Heights Residency,Pune,10443,4.0
Suites Residency,Pune,14141,3.7
Resort Heights,Pune,12075,3.8
Heights Oasis,Ahmedabad,11199,4.5
Heights Palace,Ahmedabad,9906,2.8
Bay Lounge,Ahmedabad,8670,2.8
Heights Palace,Ahmedabad,8280,3.6
Palace Palace,Ahmedabad,12160,4.4
Plaza Lounge,Ahmedabad,11909,4.7
Palace Lounge,Ahmedabad,12859,3.8
Royal Suites,Ahmedabad,3203,3.3
Regency Vista,Ahmedabad,13785,3.6
Heights Retreat,Ahmedabad,12495,4.4
Plaza Gardens,Jaipur,3472,3.2
Hotel Palace,Jaipur,4219,4.3
Resort Palace,Jaipur,13093,2.9
Grand Vista,Jaipur,14962,5.0
Resort Retreat,Jaipur,2896,2.9
Suites Suites,Jaipur,14846,3.8
Resort Heights,Jaipur,8531,4.7
Royal Retreat,Jaipur,1763,3.8
Suites Vista,Lucknow,8789,3.3
Inn Vista,Lucknow,9871,2.6
Inn Suites,Lucknow,2127,4.9
Resort Residency,Lucknow,4015,3.1
Bay Lounge,Lucknow,5986,4.6
Grand Retreat,Lucknow,4779,2.9
Bay Oasis,Delhi,13460,4.4
Inn Palace,Delhi,5348,3.6
Regency Oasis,Delhi,1899,4.7
Resort Heights,Delhi,8079,2.7
Inn Heights,Delhi,8337,2.6
Heights Suites,Delhi,13747,3.6
Plaza Vista,Delhi,7020,3.7
Heights Heights,Mumbai,3303,4.9
Resort Heights,Mumbai,9724,3.1
Bay Lounge,Mumbai,12009,3.0
Regency Retreat,Mumbai,2774,4.9
Hotel Heights,Mumbai,13707,4.3
Inn Suites,Mumbai,5059,4.7
Heights Lounge,Chennai,7750,3.9
Hotel Residency,Chennai,8453,4.1
Palace Vista,Chennai,3104,4.0
Heights Residency,Chennai,8048,4.5
Regency Vista,Chennai,2123,5.0
Bay Lounge,Chennai,5215,3.1
Resort Vista,Chennai,1194,4.3
Heights Oasis,Kolkata,6955,2.7
Regency Oasis,Kolkata,10876,4.5
Grand Gardens,Kolkata,9680,3.6
Heights Vista,Kolkata,1498,3.5
Resort Inn,Kolkata,13862,2.8
Inn Vista,Kolkata,10004,4.6
Hotel Residency,Bengaluru,14306,3.1
Grand Oasis,Bengaluru,8092,3.3
Inn Lounge,Bengaluru,4645,3.8
Resort Suites,Bengaluru,1524,4.1
Plaza Residency,Bengaluru,8523,2.6
Hotel Vista,Bengaluru,9526,2.8
Grand Oasis,Bengaluru,10046,2.9
Royal Heights,Bengaluru,14734,3.2
Suites Vista,Bengaluru,11327,3.0
Grand Retreat,Hyderabad,7258,3.5
Bay Heights,Hyderabad,8223,4.3
Heights Lounge,Hyderabad,13941,4.2
Plaza Heights,Hyderabad,14660,2.6
Inn Vista,Hyderabad,8503,3.8
Royal Inn,Hyderabad,4672,2.8
Plaza Gardens,Hyderabad,13623,4.8
Bay Oasis,Hyderabad,11694,3.0
Bay Residency,Hyderabad,11287,4.6
Heights Lounge,Pune,9446,2.8
Suites Oasis,Pune,2612,3.9
Heights Suites,Pune,12833,2.9
Heights Palace,Pune,4686,4.2
Suites Inn,Pune,8803,4.8
Grand Gardens,Pune,13737,4.1
Royal Gardens,Pune,10135,3.5
Regency Gardens,Pune,9056,4.1
Regency Vista,Pune,3294,2.6
Heights Lounge,Ahmedabad,8813,4.0
Heights Oasis,Ahmedabad,1713,4.8
Resort Oasis,Ahmedabad,6911,3.5
Heights Oasis,Ahmedabad,14753,2.5
Heights Inn,Ahmedabad,1683,3.1
Royal Lounge,Ahmedabad,5380,4.8
Palace Lounge,Ahmedabad,13436,3.3
Grand Lounge,Ahmedabad,11349,3.7
Bay Retreat,Ahmedabad,13152,2.8
Regency Residency,Ahmedabad,8818,3.1
Palace Oasis,Jaipur,4925,3.6
Grand Lounge,Jaipur,7313,2.8
Plaza Suites,Jaipur,5005,3.9
Inn Suites,Jaipur,1473,4.2
Royal Gardens,Jaipur,7574,3.8
Suites Suites,Jaipur,11410,2.8
Palace Lounge,Jaipur,9797,4.4
Palace Vista,Jaipur,7423,3.9
Plaza Vista,Lucknow,14319,2.9
Grand Palace,Lucknow,8013,2.7
Plaza Inn,Lucknow,2339,3.1
Heights Lounge,Lucknow,4586,4.4
Heights Gardens,Lucknow,11262,3.2
Grand Palace,Lucknow,1582,4.7
Resort Lounge,Delhi,9585,4.8
Palace Retreat,Delhi,6885,4.7
Regency Gardens,Delhi,11172,2.7
Suites Residency,Delhi,3371,3.2
Heights Residency,Delhi,14921,3.1
Regency Vista,Delhi,2322,3.6
Plaza Vista,Delhi,5204,3.5
Grand Lounge,Mumbai,7097,3.7
Hotel Oasis,Mumbai,3585,3.5
Hotel Heights,Mumbai,6386,3.3
Suites Inn,Mumbai,11204,3.5
Hotel Residency,Mumbai,12930,3.7
Suites Inn,Mumbai,1082,4.7
Suites Retreat,Chennai,7210,3.2
Palace Heights,Chennai,12701,3.3
Suites Oasis,Chennai,3308,2.9
Regency Inn,Chennai,9377,3.2
Royal Gardens,Chennai,5934,3.6
Regency Residency,Chennai,10138,3.9
Heights Heights,Chennai,12463,3.4
Grand Lounge,Kolkata,9056,4.2
Suites Lounge,Kolkata,3407,3.6
Royal Oasis,Kolkata,12223,3.3
Plaza Gardens,Kolkata,4390,4.4
Resort Lounge,Kolkata,11763,3.3
Heights Palace,Kolkata,6583,4.1
Palace Suites,Bengaluru,1506,4.5
Suites Oasis,Bengaluru,9687,2.7
Bay Heights,Bengaluru,6049,4.8
Resort Retreat,Bengaluru,6779,4.3
Bay Gardens,Bengaluru,1198,2.9
Grand Heights,Bengaluru,6140,4.4
Royal Residency,Bengaluru,10767,3.7
Suites Residency,Bengaluru,2948,4.5
Royal Oasis,Bengaluru,6059,2.7
Resort Vista,Hyderabad,8787,2.6
Palace Heights,Hyderabad,13151,3.2
Hotel Suites,Hyderabad,3714,5.0
Grand Inn,Hyderabad,4642,3.0
Resort Gardens,Hyderabad,4824,3.5
Resort Suites,Hyderabad,14910,4.0
Heights Lounge,Hyderabad,6676,2.8
Royal Lounge,Hyderabad,5264,3.9
Hotel Suites,Hyderabad,13770,3.6
Plaza Lounge,Pune,13705,5.0
Royal Inn,Pune,9460,4.4
Palace Oasis,Pune,12791,4.4
Hotel Gardens,Pune,11467,2.6
Royal Vista,Pune,4871,3.6
Bay Palace,Pune,11269,4.2
Palace Retreat,Pune,12506,4.1
Resort Palace,Pune,10053,4.1
Grand Retreat,Pune,11487,3.5
Bay Residency,Ahmedabad,2025,3.7
Hotel Gardens,Ahmedabad,2913,2.9
Hotel Retreat,Ahmedabad,13538,4.1
Regency Residency,Ahmedabad,13466,4.4
Hotel Suites,Ahmedabad,6922,4.4
Suites Vista,Ahmedabad,9546,4.3
Suites Palace,Ahmedabad,5681,4.0
Bay Inn,Ahmedabad,7891,4.2
Heights Gardens,Ahmedabad,10876,3.5
Grand Inn,Ahmedabad,8847,2.7
Royal Gardens,Jaipur,3729,3.2
Regency Retreat,Jaipur,8736,3.0
Regency Retreat,Jaipur,9831,4.7
Bay Vista,Jaipur,4817,2.7
Resort Vista,Jaipur,4718,4.7
Palace Lounge,Jaipur,9501,2.8
Bay Inn,Jaipur,12526,3.0
Bay Suites,Jaipur,8167,2.8
Resort Vista,Lucknow,7187,4.2
Palace Vista,Lucknow,3364,4.6
Regency Vista,Lucknow,7146,3.1
Hotel Palace,Lucknow,13899,4.4
Resort Residency,Lucknow,943,4.5
Bay Gardens,Lucknow,5020,3.0
Bay Lounge,Delhi,3049,2.6
Regency Heights,Delhi,6228,2.6
Palace Oasis,Delhi,5564,4.1
Regency Suites,Delhi,7999,3.0
Inn Heights,Delhi,6257,4.3
Heights Inn,Delhi,8809,3.4
Plaza Lounge,Delhi,5482,4.5
Hotel Palace,Mumbai,12775,4.2
Regency Vista,Mumbai,4208,4.6
Grand Palace,Mumbai,10312,2.9
Regency Inn,Mumbai,3408,3.9
Heights Suites,Mumbai,3843,3.6
Royal Gardens,Mumbai,10074,4.3
Bay Vista,Chennai,3247,3.4
Inn Retreat,Chennai,9034,3.2
Inn Heights,Chennai,5437,3.4
Suites Inn,Chennai,9849,4.5
Suites Gardens,Chennai,2191,4.7
Grand Inn,Chennai,3329,4.7
Resort Heights,Chennai,4438,3.2
Royal Inn,Kolkata,12635,4.9
Heights Inn,Kolkata,12577,2.7
Royal Inn,Kolkata,2081,4.7
Royal Suites,Kolkata,12561,4.6
Palace Heights,Kolkata,7157,2.9
Bay Retreat,Kolkata,6492,3.7
Bay Suites,Bengaluru,8800,2.9
Inn Gardens,Bengaluru,8098,2.8
Bay Vista,Bengaluru,14827,3.7
Grand Vista,Bengaluru,14163,4.7
Resort Retreat,Bengaluru,14573,4.3
Palace Oasis,Bengaluru,12075,3.6
Heights Gardens,Bengaluru,13923,2.7
Palace Oasis,Bengaluru,13061,3.0
Plaza Suites,Bengaluru,6779,2.7
Plaza Oasis,Hyderabad,9634,4.7
Plaza Lounge,Hyderabad,1331,2.9
Hotel Suites,Hyderabad,8949,2.8
Heights Oasis,Hyderabad,5295,4.2
Royal Oasis,Hyderabad,2558,4.7
Heights Vista,Hyderabad,9606,4.5
Regency Residency,Hyderabad,7940,4.5
Regency Palace,Hyderabad,11336,4.8
Palace Oasis,Hyderabad,1487,4.9
Grand Residency,Pune,4171,4.6
Grand Inn,Pune,3764,5.0
Bay Suites,Pune,14832,3.7
Royal Heights,Pune,5845,4.1
Regency Heights,Pune,1264,3.2
Inn Retreat,Pune,13398,3.9
Bay Palace,Pune,5811,3.9
Suites Heights,Pune,1067,4.7
Palace Suites,Pune,8598,2.9
Resort Inn,Ahmedabad,8536,4.2
Suites Residency,Ahmedabad,1013,2.8
Palace Lounge,Ahmedabad,7834,3.8
Grand Retreat,Ahmedabad,5127,3.9
Suites Vista,Ahmedabad,8379,3.9
Inn Heights,Ahmedabad,10548,2.9
Resort Inn,Ahmedabad,13259,4.3
Royal Retreat,Ahmedabad,4724,2.6
Grand Palace,Ahmedabad,4973,2.8
Resort Retreat,Ahmedabad,9507,3.9
Palace Retreat,Jaipur,7848,3.7
Resort Heights,Jaipur,3728,4.9
Palace Vista,Jaipur,10686,3.2
Regency Lounge,Jaipur,9099,4.9
Hotel Suites,Jaipur,1248,2.8
Royal Retreat,Jaipur,13297,4.4
Hotel Vista,Jaipur,8005,3.1
Hotel Inn,Jaipur,12912,4.2
Hotel Lounge,Lucknow,10089,3.6
Inn Lounge,Lucknow,14216,3.3
Resort Inn,Lucknow,12582,2.8
Suites Palace,Lucknow,2163,3.4
Royal Residency,Lucknow,14377,4.0
Regency Vista,Lucknow,12598,4.5
Suites Palace,Delhi,11337,3.4
Inn Suites,Delhi,1915,4.9
Bay Oasis,Delhi,6499,3.4
Heights Heights,Delhi,4058,3.0
Inn Lounge,Delhi,2848,2.8
Inn Inn,Delhi,8875,3.7
Hotel Suites,Delhi,10579,3.9
Royal Inn,Mumbai,13982,3.2
Heights Lounge,Mumbai,14552,5.0
Regency Heights,Mumbai,5645,3.0
Plaza Gardens,Mumbai,13644,3.1
Resort Inn,Mumbai,11142,3.8
Resort Gardens,Mumbai,8598,4.4
Bay Heights,Chennai,7309,2.6
Grand Oasis,Chennai,10121,3.8
Resort Palace,Chennai,4155,5.0
Bay Inn,Chennai,12558,4.1
Plaza Residency,Chennai,1791,3.7
Palace Lounge,Chennai,10230,2.6
Resort Heights,Chennai,11755,3.5
Bay Residency,Kolkata,12323,3.0
Suites Suites,Kolkata,12825,3.9
Heights Residency,Kolkata,13482,3.6
Palace Heights,Kolkata,13439,3.6
Heights Gardens,Kolkata,13327,2.8
Palace Heights,Kolkata,7490,2.7
Palace Vista,Bengaluru,12038,2.5
Plaza Gardens,Bengaluru,8629,3.9
Palace Inn,Bengaluru,11859,4.9
Plaza Retreat,Bengaluru,7590,4.8
Hotel Suites,Bengaluru,1960,4.4
Bay Oasis,Bengaluru,5670,3.7
Regency Vista,Bengaluru,9703,4.4
Suites Suites,Bengaluru,3340,4.3
Royal Vista,Bengaluru,8741,4.7
Suites Suites,Hyderabad,8810,2.8
Hotel Oasis,Hyderabad,12660,3.2
Inn Gardens,Hyderabad,12021,2.8
Plaza Vista,Hyderabad,10368,4.9
Inn Palace,Hyderabad,10317,3.4
Inn Oasis,Hyderabad,5262,3.7
Palace Residency,Hyderabad,3828,2.7
Hotel Suites,Hyderabad,6299,2.7
Regency Palace,Hyderabad,14347,3.8
Hotel Gardens,Pune,2236,3.9
Palace Lounge,Pune,2410,4.5
Inn Lounge,Pune,13138,2.7
Palace Inn,Pune,4590,3.4
Royal Gardens,Pune,8021,4.7
Bay Retreat,Pune,4846,3.4
Resort Lounge,Pune,2933,4.1
Plaza Palace,Pune,11375,4.3
Bay Oasis,Pune,1753,4.1
Grand Palace,Ahmedabad,8459,4.5
Regency Gardens,Ahmedabad,14146,3.2
Grand Heights,Ahmedabad,8820,3.2
Hotel Retreat,Ahmedabad,7577,3.6
Plaza Gardens,Ahmedabad,3683,3.8
Heights Oasis,Ahmedabad,12017,4.7
Bay Residency,Ahmedabad,12684,3.9
Inn Vista,Ahmedabad,3011,4.7
Suites Gardens,Ahmedabad,11325,2.6
Resort Residency,Ahmedabad,3467,4.5
Bay Vista,Jaipur,2714,4.6
Royal Retreat,Jaipur,8710,4.1
Inn Gardens,Jaipur,5485,2.6
Regency Palace,Jaipur,3210,4.1
Palace Vista,Jaipur,4815,3.1
Regency Palace,Jaipur,12934,4.2
Plaza Inn,Jaipur,8259,3.4
Bay Palace,Jaipur,14245,3.2
Grand Heights,Lucknow,2392,3.9
Grand Residency,Lucknow,11443,3.3
Resort Gardens,Lucknow,5938,3.2
Suites Lounge,Lucknow,6555,5.0
Bay Palace,Lucknow,8571,3.9
Suites Lounge,Lucknow,7117,3.9
Bay Palace,Delhi,3087,3.7
Resort Lounge,Delhi,13918,3.2
Suites Vista,Delhi,1345,3.3
Suites Vista,Delhi,6762,3.5
Royal Lounge,Delhi,9124,3.0
Regency Palace,Delhi,9532,3.6
Palace Heights,Delhi,7253,4.3
Resort Retreat,Mumbai,13350,2.9
Regency Suites,Mumbai,11150,4.0
Regency Inn,Mumbai,8740,3.0
Palace Gardens,Mumbai,7296,4.7
Royal Residency,Mumbai,11822,3.6
Inn Oasis,Mumbai,1234,4.1
Palace Heights,Chennai,13487,2.8
Resort Residency,Chennai,5789,3.9
Royal Retreat,Chennai,7712,3.7
Regency Suites,Chennai,4538,2.8
Inn Heights,Chennai,8447,3.0
Hotel Suites,Chennai,10292,3.1
Bay Inn,Chennai,7066,4.9
Palace Lounge,Kolkata,13495,4.9
Resort Retreat,Kolkata,6258,3.6
Inn Inn,Kolkata,1876,4.5
Regency Gardens,Kolkata,8256,4.3
Grand Lounge,Kolkata,10690,3.2
Heights Lounge,Kolkata,7842,4.8
Palace Suites,Bengaluru,11945,4.4
Royal Vista,Bengaluru,9039,3.8
Palace Gardens,Bengaluru,11220,3.8
Palace Oasis,Bengaluru,4138,4.6
Grand Retreat,Bengaluru,10018,4.5
Grand Lounge,Bengaluru,5306,4.5
Heights Lounge,Bengaluru,13280,3.9
Bay Palace,Bengaluru,13707,2.9
Royal Retreat,Bengaluru,14974,4.7
Grand Suites,Hyderabad,8042,2.5
Resort Retreat,Hyderabad,1955,2.6
Plaza Oasis,Hyderabad,8169,3.9
Grand Lounge,Hyderabad,9500,3.2
Inn Retreat,Hyderabad,11978,2.6
Plaza Gardens,Hyderabad,10424,2.8
Inn Gardens,Hyderabad,7458,3.6
Resort Palace,Hyderabad,3042,3.7
Resort Heights,Hyderabad,9874,4.2
Palace Gardens,Pune,2231,4.2
Palace Vista,Pune,1361,2.8
Heights Retreat,Pune,8889,3.3
Heights Heights,Pune,7833,3.9
Inn Heights,Pune,4707,4.8
Royal Inn,Pune,3639,4.7
Heights Suites,Pune,4846,4.4
Grand Retreat,Pune,6687,4.9
Royal Residency,Pune,10271,3.0
Regency Gardens,Ahmedabad,7905,3.6
Resort Gardens,Ahmedabad,11313,4.3
Plaza Suites,Ahmedabad,13485,3.1
Resort Palace,Ahmedabad,10573,4.4
Plaza Lounge,Ahmedabad,9216,4.8
Plaza Residency,Ahmedabad,9636,3.6
Plaza Suites,Ahmedabad,8543,3.3
Grand Gardens,Ahmedabad,2485,3.1
Regency Inn,Ahmedabad,10208,4.2
Heights Palace,Ahmedabad,5537,2.7
Hotel Lounge,Jaipur,8105,4.2
Hotel Lounge,Jaipur,5701,4.9
Bay Vista,Jaipur,7031,3.3
Bay Residency,Jaipur,5903,3.8
Grand Palace,Jaipur,13109,4.4
Hotel Gardens,Jaipur,11742,3.0
Royal Lounge,Jaipur,10688,3.4
Royal Palace,Jaipur,1980,3.2
Regency Suites,Lucknow,13848,3.3
Inn Lounge,Lucknow,5903,4.3
Suites Oasis,Lucknow,12533,4.2
Royal Retreat,Lucknow,1249,4.8
Suites Residency,Lucknow,3958,4.7
Resort Residency,Lucknow,7714,3.2
Hotel Retreat,Delhi,14471,2.7
Suites Residency,Delhi,9457,3.6
Suites Vista,Delhi,6392,3.0
Bay Lounge,Delhi,2650,3.2
Grand Lounge,Delhi,2725,3.7
Suites Retreat,Delhi,6746,4.5
Regency Lounge,Delhi,10386,3.1
Suites Retreat,Mumbai,10117,4.8
Bay Inn,Mumbai,4560,4.4
Regency Vista,Mumbai,8518,5.0
Regency Retreat,Mumbai,2979,3.4
Grand Gardens,Mumbai,11831,4.6
Plaza Heights,Mumbai,7030,3.8
Grand Retreat,Chennai,9515,4.7
Heights Heights,Chennai,5421,4.2
Heights Oasis,Chennai,10034,4.4
Palace Lounge,Chennai,12588,2.6
Regency Lounge,Chennai,3293,3.2
Regency Lounge,Chennai,10776,2.8
Inn Retreat,Chennai,1683,4.5
Heights Heights,Kolkata,8070,3.5
Resort Vista,Kolkata,11854,3.1
Heights Vista,Kolkata,2410,3.2
Heights Retreat,Kolkata,6385,3.3
Hotel Oasis,Kolkata,3821,4.0
Resort Heights,Kolkata,13941,4.9
Regency Oasis,Bengaluru,7318,3.6
Plaza Retreat,Bengaluru,8140,2.7
Regency Suites,Bengaluru,5907,3.9
Plaza Oasis,Bengaluru,13985,4.1
Hotel Retreat,Bengaluru,10867,3.3
Inn Heights,Bengaluru,13951,2.6
Heights Residency,Bengaluru,11128,2.9
Heights Residency,Bengaluru,12703,5.0
Hotel Inn,Bengaluru,2925,4.3
Plaza Retreat,Hyderabad,1623,4.4
Grand Retreat,Hyderabad,13777,2.9
Plaza Residency,Hyderabad,13824,3.9
Regency Gardens,Hyderabad,14088,2.7
Inn Gardens,Hyderabad,12620,4.1
Hotel Heights,Hyderabad,11432,2.7
Suites Heights,Hyderabad,14308,4.2
Inn Lounge,Hyderabad,10810,2.9
Regency Heights,Hyderabad,1220,3.8
Hotel Oasis,Pune,3626,4.5
Regency Vista,Pune,13282,3.4
Palace Residency,Pune,6282,5.0
Plaza Heights,Pune,10531,3.9
Royal Residency,Pune,4303,3.0
Bay Palace,Pune,5469,3.0
Grand Gardens,Pune,9245,3.1
Bay Gardens,Pune,8782,3.0
Heights Retreat,Pune,9603,2.9
Grand Palace,Ahmedabad,14226,3.5
Plaza Palace,Ahmedabad,5741,3.9
Heights Inn,Ahmedabad,6564,3.4
Palace Palace,Ahmedabad,5978,3.2
Royal Gardens,Ahmedabad,13675,4.9
